Sentiment,News Headline
neutral,The ongoing project where Tekla Structures is being used is the Vashi Exhibition Centre being developed by Insteel Engineers Pvt Ltd-IIVRCL Infrastructures & Projects Ltd & CIDCO .
neutral,An audio webcast will be available live and archived on Cerner 's Web site at www.cerner.com .
positive,`` Our design team has long admired Marimekko 's vivid patterns and colors .
neutral,"Following the issue , the new shares will constitute 10 percent of the firm 's capital ."
negative,"Operating profit fell to EUR 35.4 mn from EUR 68.8 mn in 2007 , including vessel sales gain of EUR 12.3 mn ."
positive,"`` The Intel Atom processor has had tremendous success in the marketplace since its launch over 2 years ago , '' said Pankaj Kedia , director of global ecosystem programs for Intel Corp. 's Ultra Mobility Group ."
neutral,Tracker G400 is a GPS collar for hunting dogs allowing to monitor the dog 's position and movements with a map application for mobile phones .
positive,UPM-Kymmene has generated four consecutive quarters of positive Free Cash Flow .
neutral,The idea of saving electricity in data transfer is still a new one .
neutral,The planned ethanol and energy production plant can operate in correlation with a waste treatment unit or a paper mill .
positive,Growth is expected to continue in 2008 .
neutral,"According to the prosecutor , the share transactions were carried out after HK Ruokatalo had proceeded in the negotiations concerning the acquisition of Swedish Meats ."
neutral,"The Group owns and operates a fleet of more than 800dwt , while container capacity is 17,000 TEUs , and manages a diversified fleet of its own railway rolling stock of over 17,000 units ."
negative,"The number of permanent reductions of clerical workers is 22 employees , of which 19 in Finland ."
negative,"At 1411 CET , ArcelorMittal had lost 7.26 % to EUR 17.38 on Euronext Paris , coming at the lead of the blue-chip fallers ."
positive,The concept enables a commercially affordable way to manufacture high-quality TCO coated glass for the solar industry .
neutral,Short-term licenses for the games cost as little as $ 3 while purchasing a game outright can cost as much as $ 10 or $ 15 .
negative,"Finnish textiles and clothing group Marimekko Oyj posted a net profit of 7.99 mln euro $ 10.4 mln for 2006 , compared to 8.4 mln euro $ 10.9 mln for 2005 ."
neutral,The combined capital of these funds is expected to be EUR 100mn-150mn .
neutral,"On the route between Helsinki in Finland and Tallinn in Estonia , cargo volumes increased by 36 % , while cargo volumes between Finland and Sweden fell by 9 % ."
neutral,"Under the transaction agreement , Metsaliitto will purchase 24.7 % of Metsa-Botnia 's shares from UPM and 3 % from M-real ."
negative,The current lay-offs are additional to the temporary lay-offs agreed in December 2008 and in May 2009 .
positive,Finnish Vacon has signed significant deals with Norwegian Scandinavian Electric Systems ( SES ) on the supply of AC drives .
neutral,` Pulp and paper industries are growing in countries like China and Russia .
positive,Finlan 's listed food industry company HKScan Group controlled companies in the Baltics improved revenues by EUR 3.5 mn to EUR 160.4 mn in 2010 from EUR 156.9 mn in the year before .
neutral,It also recovers valuable raw material for Kemira 's water chemical production .
neutral,The business to be divested generates consolidated net sales of EUR 60 million annually and currently has some 640 employees .
neutral,"According to the original merger plan , Scanfil would get a 79 % stake in the combined business ."
neutral,- The Group -� s result before taxes was a loss of EUR 0.6 ( +0.6 ) million .
neutral,"Koff 's market share of the volume of the market was 23.4 % , Karhu 's 21.4 % ."
neutral,"1 p.m. Central office of Nordea Bank 19 3-ya ulitsa Yamskogo Polya , Building 1 Telephone : 495 777-34-77 ext. 3932 , 3931 03.02.2011 Unimilk - EGM 03-04 .02.2011 XVI international business-summit Food Business Russia 2011 will take place ."
negative,Diluted earnings per share ( EPS ) declined to EUR 0.78 from EUR 1.76 .
negative,"Net cash from operating activities was a negative EUR 0.3 mn , compared to EUR 30.9 mn in 2009 ."
positive,Ramirent s Danish subsidiary Ramirent A-S has today signed an agreement to acquire the business assets of the machinery rental company Jydsk Materiel Udlejning located in West Jutland .
neutral,The corrected chapter is in its entirety below .
neutral,"Our key geographical markets are Europe , Russian Federation , Middle-East , South-Africa and Japan ."
neutral,"As a result , a total of 82 employees would be given notice ."
neutral,The merger between the two telecoms operators was expected to result in the world 's fourth largest telecoms operator .
neutral,Airbus will attempt to evacuate up to 873 people within 90 seconds .
neutral,The fair value of investment properties was EUR 2 251.0 ( 1 281.4 ) million .
positive,"- BEIJING XFN-ASIA - Hong Kong-listed Standard Chartered Bank said it has signed a China mobile phone dealer financing agreement with Nokia , making it the first foreign bank to offer financing to the country 's small and medium enterprise -LR"
positive,"Ragutis , which is based in Lithuania 's second-largest city Kaunas , boosted its sales last year 22.3 per cent to 36.4 million liters ."
neutral,"Upon completion of these transactions , Metso 's stake will amount to more than 60 % ."
neutral,The company expects net sales of 65 mln euro ( $ 85.1 mln ) for 2006 .
positive,"The German company has also signed a code share agreement with another Oneworld member -- American Airlines Inc , part of US-based AMR Corp ( NYSE : AMR ) ."
positive,"Profit for the period totaled EUR 39.4 mn , up from EUR 33.9 mn in the corresponding period in 2006 ."
positive,"The buyer aims to thus reinforce its position in Denmark , Martela Group managing director Heikki Martela said ."
neutral,"The power supplies , DC power systems and inverters designed and manufactured by Efore , and systems incorporating them are used in many different applications ."
positive,"Finnish lifting equipment maker Konecranes Oyj said on July 30 , 2008 that its net profit rose to 71.2 mln euro ( $ 111.1 mln ) for the first half of 2008 from 57.1 mln euro ( $ 89.1 mln ) for the same period of 2007 ."
neutral,"The final price will be specified by 14 May 2010 , the acquiring company said ."
positive,That topped consensus forecasts for earnings of 0.21 euros a share .
neutral,"The unit 's clients are mainly in the field of specialist convenience goods , as well as in the textile , shoe and furniture businesses ."
positive,The costs of the new ropax vessels are 30 % lower than those of the present ones .
neutral,"pct lower at 4,442.10 ."
neutral,"Under Finnish law , Parliament grants licences to build nuclear power plants ."
neutral,Why not give your bedroom a cool makeover for summer .
positive,The court found TelecomInvest 's arguments convincing .
neutral,"As a result of the share issue , the number of the company 's shares increases by 391,630 shares and the share capital by a total of EUR 15,665.20 ."
